"URL","name_with_owner","language","stars","forks","num_topics","topics","size","created_at","type","archived","first_commit","first_workflow","first_run","commit_to_workflow","commit_to_run","last_commit","workflow_to_last","commit_to_last","avg_commits","total_commits","issues","prs","core_devs","non_core_devs","contributor_commits","avg_build_mins","commits_per_day","avg_days_broken_fix"
"https://api.github.com/repos/Smithay/smithay","Smithay/smithay","Rust",1247,118,3,"{rust,wayland,wayland-compositor}",19559,"2017-01-20 08:53:24","Organization","false","2017-01-20 08:54:05","2020-04-12 19:15:17","2023-11-11 11:27:11","38.74","81.6","2023-11-11 09:43:12","42.85","81.6","49.9",3158,155,918,4,56,2994,"9.18","1.94","0"
"https://api.github.com/repos/lf-lang/lingua-franca","lf-lang/lingua-franca","Java",166,43,6,"{concurrency,coordination,determinism,language,polyglot,timing}",96090,"2018-11-07 17:26:08","Organization","false","2018-11-07 17:26:08","2021-12-31 21:43:58","2023-05-25 01:47:19","37.78","54.48","2023-11-12 05:56:41","22.23","60.15","299.84",15519,623,1045,8,43,15292,"8.77","11.05","0"
"https://api.github.com/repos/weseek/growi","weseek/growi","TypeScript",1194,213,9,"{docker,growi,javascript,markdown-editor,nodejs,react,typescript,wiki,wiki-engine}",130952,"2017-02-16 17:15:47","Organization","false","2017-02-25 19:00:57","2021-04-08 23:56:00","2023-11-11 09:24:26","49.35","80.33","2023-11-07 14:13:42","30.85","80.21","289.21",50528,791,7290,5,121,36441,"2.7","28.69","0"
"https://api.github.com/repos/SAP/ui5-webcomponents","SAP/ui5-webcomponents","TypeScript",1333,226,5,"{open-source,ui5,ui5-webcomponents,web-component,webcomponent}",3160195,"2019-01-24 17:09:23","Organization","false","2019-02-11 14:12:17","2022-05-19 20:05:52","2023-11-21 08:27:53","39.23","57.19","2023-11-11 07:59:06","17.67","56.8","47.2",4272,2789,4615,18,71,4201,"6.04","2.47","0"
"https://api.github.com/repos/aws/aws-sdk-js-v3","aws/aws-sdk-js-v3","TypeScript",2499,493,9,"{aws-sdk,aws-sdk-js,dynamodb,javascript,lambda,nodejs,s3,sns,typescript}",972881,"2017-04-04 19:44:22","Organization","false","2017-04-07 22:47:04","2020-11-14 10:40:40","2023-11-16 19:04:57","43.11","79.19","2023-11-10 21:27:33","35.71","79","24.39",5786,1795,3104,4,106,2683,"6.83","4.03","0"
"https://api.github.com/repos/mpusz/mp-units","mpusz/mp-units","C++",749,68,18,"{cmake,conan,concepts,cpp,cpp20,dimensional-analysis,dimensions,hacktoberfest,library,physical-quantities,physical-units,quantity,quantity-manipulation,strongly-typed,system-of-units,units,units-of-measure,units-of-measurement}",13485,"2018-08-22 10:12:46","User","false","2018-09-28 14:47:37","2020-12-17 10:08:33","2023-05-26 13:57:41","26.59","55.82","2023-11-09 01:37:16","34.6","61.33","100.25",2809,231,186,2,26,2807,"6.04","1.73","0"
"https://api.github.com/repos/bids-standard/bids-specification","bids-standard/bids-specification","Python",224,138,4,"{bids,data-standards,neuroimaging,standards}",13279,"2018-09-26 17:35:34","Organization","false","2018-09-26 17:35:35","2021-11-16 05:03:09","2022-10-19 10:41:51","37.63","48.75","2023-11-10 17:24:40","23.65","61.45","47.42",3560,446,933,9,64,3462,"1.22","1.73","0"
"https://api.github.com/repos/fyne-io/fyne","fyne-io/fyne","Go",21003,1180,10,"{android,cross-platform,fyne,go,golang,gui,hacktoberfest,ios,theme,toolkit}",107439,"2018-02-04 22:07:16","Organization","false","2018-02-10 12:50:38","2022-02-13 09:05:40","2023-11-18 16:10:02","48.09","69.14","2023-11-08 16:42:51","20.65","68.75","56.1",8907,1852,1752,4,145,8359,"0.58","3.66","0"
"https://api.github.com/repos/awsdocs/aws-doc-sdk-examples","awsdocs/aws-doc-sdk-examples","Java",7951,5221,12,"{aws,cpp,documentation,dotnet,examples,go,java,javascript,php,programming,python,ruby}",152733,"2016-08-18 19:06:57","Organization","false","2016-08-19 00:32:10","2022-04-20 11:48:19","2023-09-25 20:01:39","67.93","85.21","2023-11-10 17:09:57","18.58","86.72","45.32",15535,1573,3784,6,320,14773,"1.16","6.25","0"
"https://api.github.com/repos/rotki/rotki","rotki/rotki","Python",2266,418,15,"{accounting,analytics,bitcoin,blockchain,cryptocurrencies,cryptocurrency-exchanges,cryptocurrency-portfolio,cryptocurrency-portfolio-tracking,ethereum,hacktoberfest,management,management-system,portfolio-tracker,tax,tracking}",247281,"2018-03-05 11:26:09","Organization","false","2018-03-05 16:36:29","2020-04-08 09:23:02","2023-11-20 18:51:43","25.07","68.38","2023-11-10 19:09:49","42.98","68.05","114.31",13997,2046,4511,4,117,13832,"6.38","8.78","0"
"https://api.github.com/repos/EDCD/EDDI","EDCD/EDDI","C#",415,79,8,"{eddn,edsm,elite,elite-dangerous,frontier-api,text-to-speech,voiceattack,voiceattack-plugin}",41656,"2017-08-04 19:47:37","Organization","false","2017-08-04 19:49:21","2021-03-20 20:37:45","2023-08-06 02:32:32","43.43","72.04","2023-10-23 03:02:04","30.97","74.57","377.92",10253,1298,1176,3,21,9070,"7.13","1.7","0"
"https://api.github.com/repos/kubernetes-sigs/cluster-api-provider-vsphere","kubernetes-sigs/cluster-api-provider-vsphere","Go",314,269,3,"{cluster-api,k8s-sig-cluster-lifecycle,k8s-sig-vmware}",63637,"2018-08-03 18:15:17","Organization","false","2018-08-21 20:53:43","2022-08-24 09:29:12","2023-08-08 13:26:34","48.08","59.42","2023-11-10 10:29:34","14.53","62.62","18.18",2424,805,1576,3,118,2200,"0.78","1.77","0"
"https://api.github.com/repos/synclounge/synclounge","synclounge/synclounge","JavaScript",962,75,0,"{}",17565,"2016-12-03 07:11:17","Organization","false","2016-12-03 07:12:19","2020-09-18 12:04:21","2023-11-16 11:27:31","45.37","83.28","2023-10-26 06:40:24","37.24","82.61","102.55",3868,146,1357,1,19,2051,"2.82","1.8","0"
"https://api.github.com/repos/pmmp/PocketMine-MP","pmmp/PocketMine-MP","PHP",3105,1728,7,"{minecraft,minecraft-server,phpstan-l9,phpstan-strict,pmmp,pocketmine,pocketmine-mp}",48405,"2016-09-30 18:29:35","Organization","false","2016-09-30 19:25:17","2020-12-11 11:30:29","2023-11-16 09:50:44","50.32","85.5","2023-11-10 16:27:57","34.85","85.31","67.4",17378,3081,1918,2,180,12267,"1.73","4.26","0"
"https://api.github.com/repos/GIScience/openrouteservice","GIScience/openrouteservice","Java",1091,324,7,"{directions-api,isochrones,matrix,openstreetmap,osm,routing,routing-engine}",211153,"2017-09-11 15:49:01","Organization","false","2017-09-11 21:11:36","2020-11-10 19:54:32","2023-11-13 11:55:54","37.94","74.03","2023-11-03 14:58:11","35.59","73.7","75.2",4635,677,762,6,39,3384,"7.38","2.11","0"
"https://api.github.com/repos/TanStack/query","TanStack/query","TypeScript",35790,2333,12,"{async,cache,data,fetch,graphql,hooks,query,react,rest,stale,stale-while-revalidate,update}",37029,"2019-09-10 19:23:58","Organization","false","2019-09-10 20:15:48","2022-07-09 06:26:46","2023-11-05 14:55:04","33.81","49.8","2023-11-12 10:38:37","16.05","50.02","4.54",2411,1479,2022,3,468,2139,"2.85","1.89","0"
"https://api.github.com/repos/containers/buildah","containers/buildah","Go",6448,716,7,"{container,container-image,containers,docker,oci,oci-image,podman}",56981,"2017-01-26 16:59:13","Organization","false","2017-01-26 16:59:13","2021-05-13 09:06:48","2023-10-11 01:26:21","51.54","80.39","2023-11-07 22:45:03","29.77","81.27","24.6",5152,1481,3471,11,167,4379,"0.43","2.26","0"
"https://api.github.com/repos/lvgl/lvgl","lvgl/lvgl","C",12608,2580,7,"{c,embedded,graphics,gui,mcu,microcontroller,tft}",162507,"2016-06-08 04:14:34","Organization","false","2016-06-10 13:00:56","2020-04-19 23:54:12","2023-11-20 11:47:31","46.17","89.26","2023-11-10 14:45:12","42.59","88.93","23.25",9150,2575,2123,5,358,8440,"5.93","3.77","0"
"https://api.github.com/repos/SamR1/FitTrackee","SamR1/FitTrackee","Python",381,28,12,"{activity-tracker,chartjs,flask,gpx,gpxpy,leaflet,outdoor-activities,python,self-hosted,vue3,workout-tracker,workouts}",166258,"2017-04-02 18:08:29","User","false","2017-04-02 18:08:30","2022-03-27 03:58:44","2023-10-08 17:37:31","59.65","78.11","2023-10-08 17:38:00","18.33","78.11","149.47",2352,168,215,1,14,2242,"1.34","2.03","0"
"https://api.github.com/repos/eksctl-io/eksctl","eksctl-io/eksctl","Go",4559,1308,9,"{amazon-web-services,aws-cloudformation,aws-ec2,aws-eks,eks,kubernetes,kubernetes-cluster,kubernetes-deployment,kubernetes-setup}",59079,"2018-05-23 08:41:03","Organization","false","2018-05-25 17:41:44","2022-03-01 00:56:30","2023-09-29 13:58:25","45.08","64.07","2023-11-08 12:46:51","20.13","65.38","24.87",7560,2564,4580,5,279,7064,"0.48","2.44","0"
